document	K
task_vost_4(2010)_gram_2.txt	105.785123966942
task_vost_4(2010)_gram_3.txt	68.0272108843537
task_vost_4(2010)_gram_4.txt	95.2192025391787
task_vost_4(2010)_gram_5.txt	75.716603569497
task_vost_4(2010)_gram_6.txt	7.11111111111112
task_vost_4(2010)_gram.txt	76.9207289154788
task_vost_4(2010)_lexi.txt	17.4687745654642
task_vost_4(2010)_tran.txt	78.6218059891317
task_vost_5(1996)_gram_2.txt	51.6197935208259
task_vost_5(1996)_gram.txt	37.5
task_vost_5(1996)_leSt_2.txt	126.958936718905
task_vost_5(1996)_leSt.txt	29.7265160523187
task_vost_5(1996)_lexi.txt	6.85871056241426
task_vost_5(2011)_gram_2.txt	184.089414858646
task_vost_5(2011)_gram_3.txt	44.3339100346021
task_vost_5(2011)_gram_4.txt	53.5395597858418
task_vost_5(2011)_gram.txt	69.0177594478579
task_vost_5(2011)_lexi_2.txt	49.0149872749552
task_vost_5(2011)_lexi_3.txt	50.5007995959936
task_vost_5(2011)_lexi_4.txt	100.728407908429
task_vost_5(2011)_lexi_5.txt	51.7751479289941
task_vost_5(2011)_lexi.txt	35.5998576005696
task_vost_6(1997)_leSt_2.txt	50.9001790932227
task_vost_6(1997)_leSt_3.txt	74.9687630154102
task_vost_6(1997)_leSt_4.txt	56.25
task_vost_6(1997)_leSt_5.txt	49.0086879037647
task_vost_6(1997)_leSt_6.txt	43.827611395179
task_vost_6(1997)_leSt.txt	51.7092789428325
task_vost_6(1997)_lexi.txt	54.3232231779086
task_vost_6(2012)_leSt_2.txt	23.0680507497117
task_vost_6(2012)_leSt_3.txt	29.296875
task_vost_6(2012)_leSt_4.txt	7.93493354493156
task_vost_6(2012)_leSt.txt	33.1360946745562
task_vost_7(1996)_leSe_2.txt	43.5374149659864
task_vost_7(1996)_leSe_3.txt	57.8101514625968
task_vost_7(1996)_leSe_4.txt	261.301884610938
task_vost_7(1996)_leSe_5.txt	27.0416441319632
task_vost_7(1996)_leSe_6.txt	26.4462809917355
task_vost_7(1996)_leSe_7.txt	82.0197359989748
task_vost_7(1996)_leSe_8.txt	96.0219478737997
task_vost_7(1996)_leSe.txt	76.9467528470299
task_vost_7(1996)_leSt.txt	51.7751479289941
task_vost_7(2013)_gram_2.txt	33.6063852131905
task_vost_7(2013)_gram.txt	37.7229080932785
task_vost_7(2013)_leSt_2.txt	107.727664464234
task_vost_7(2013)_leSt_3.txt	37.8071833648393
task_vost_7(2013)_leSt.txt	92.7734375
task_vost_7(2013)_lexi_2.txt	65.1927437641723
task_vost_7(2013)_lexi_3.txt	38.265306122449
task_vost_7(2013)_lexi.txt	135.808057944771
task_vost_8(1997)_gram.txt	44.5274346452169
task_vost_8(1997)_leSe_2.txt	30.99173553719
task_vost_8(1997)_leSe_3.txt	43.0901815943367
task_vost_8(1997)_leSe_4.txt	21.1457131872357
task_vost_8(1997)_leSe.txt	37.5910408019422
task_vost_8(1997)_woFo_2.txt	36.2154821186057
task_vost_8(1997)_woFo_3.txt	11.490950876185
task_vost_8(1997)_woFo.txt	36.8827265897138
task_vost_8(2014)_gram.txt	37.1057513914657
task_vost_8(2014)_leSe.txt	65.2095157589663
task_vost_8(2014)_leSt.txt	125.619834710744
task_vost_8(2014)_lexi_2.txt	49.9807766243753
task_vost_8(2014)_lexi_3.txt	59.5041322314049
task_vost_8(2014)_lexi_4.txt	95.2908587257618
task_vost_8(2014)_lexi.txt	24.2382271468144
task_vost_8(2014)_styl.txt	64.9297946595244
