document	TTR
task_basi_(1980)_synt.txt	0.666666666666667
task_basi_II(1980)_gram_2.txt	0.711538461538462
task_basi_II(1980)_gram_3.txt	0.966666666666667
task_basi_II(1980)_gram_4.txt	0.933333333333333
task_basi_II(1980)_gram_5.txt	0.520833333333333
task_basi_II(1980)_gram_6.txt	0.840909090909091
task_basi_II(1980)_gram_7.txt	0.746666666666667
task_basi_II(1980)_gram.txt	0.739130434782609
task_basi_II(1980)_lexi.txt	0.895522388059702
task_basi_II(1980)_synt.txt	0.866666666666667
task_basi_III(1981)_gram_2.txt	0.871794871794872
task_basi_III(1981)_gram_3.txt	0.78448275862069
task_basi_III(1981)_gram_4.txt	0.898550724637681
task_basi_III(1981)_gram_5.txt	0.846153846153846
task_basi_III(1981)_gram_6.txt	0.818965517241379
task_basi_III(1981)_gram_7.txt	0.925925925925926
task_basi_III(1981)_gram.txt	0.863636363636364
task_basi_III(1981)_leSe_2.txt	0.840909090909091
task_basi_III(1981)_leSe_3.txt	0.953846153846154
task_basi_III(1981)_leSe.txt	0.844827586206897
task_basi_IV(1981)_lexi_2.txt	0.91304347826087
task_basi_IV(1981)_lexi_3.txt	0.925373134328358
task_basi_IV(1981)_lexi.txt	0.885245901639344
task_basi_IV(1981)_phra.txt	0.869565217391304
task_russ_(2010)_gram_2.txt	0.903225806451613
task_russ_(2010)_gram_3.txt	0.782051282051282
task_russ_(2010)_gram_4.txt	0.909090909090909
task_russ_(2010)_gram.txt	0.792682926829268
task_russ_(2010)_lexi_2.txt	0.953125
task_russ_(2010)_lexi_3.txt	0.9375
task_russ_(2010)_lexi.txt	0.962264150943396
task_russ_1(2008)_gram.txt	0.623376623376623
task_russ_1(2009)_gram_2.txt	0.775862068965517
task_russ_1(2009)_gram_3.txt	0.672131147540984
task_russ_1(2009)_gram.txt	0.80952380952381
task_russ_1(2015)_gram_2.txt	0.8
task_russ_1(2015)_gram_3.txt	0.972972972972973
task_russ_1(2015)_gram.txt	0.818181818181818
task_russ_2(2008)_gram.txt	0.881578947368421
task_russ_2(2009)_gram_2.txt	0.75
task_russ_2(2009)_gram_3.txt	0.909090909090909
task_russ_2(2009)_gram.txt	0.683544303797468
task_russ_2(2009)_lexi.txt	0.854166666666667
task_russ_2(2016)_gram_2.txt	0.773809523809524
task_russ_2(2016)_gram_3.txt	0.805194805194805
task_russ_2(2016)_gram.txt	0.741071428571429
task_russ_3(2009)_gram_2.txt	0.766666666666667
task_russ_3(2009)_gram_3.txt	0.87719298245614
task_russ_3(2009)_gram_4.txt	0.782608695652174
task_russ_3(2009)_gram_5.txt	0.857142857142857
task_russ_3(2009)_gram_6.txt	0.95
task_russ_3(2009)_gram_7.txt	0.87037037037037
task_russ_3(2009)_gram.txt	0.876923076923077
task_russ_3(2009)_lexi.txt	0.789473684210526
task_russ_3(2018)_gram_2.txt	0.956521739130435
task_russ_3(2018)_gram_3.txt	0.82258064516129
task_russ_3(2018)_gram_4.txt	0.923076923076923
task_russ_3(2018)_gram_5.txt	0.91304347826087
task_russ_3(2018)_gram.txt	0.898550724637681
task_russ_4(2009)_gram_2.txt	0.882352941176471
task_russ_4(2009)_gram_3.txt	0.863013698630137
task_russ_4(2009)_gram_4.txt	0.909090909090909
task_russ_4(2009)_gram.txt	0.646408839779006
task_russ_4(2009)_lexi_2.txt	0.776119402985075
task_russ_4(2009)_lexi.txt	0.759036144578313
task_russ_4(2010)_gram_2.txt	0.785714285714286
task_russ_4(2010)_gram_3.txt	0.921739130434783
task_russ_4(2010)_gram_4.txt	0.893805309734513
task_russ_4(2010)_gram_5.txt	0.849557522123894
task_russ_4(2010)_gram.txt	0.801980198019802
task_russ_4(2010)_lexi_2.txt	0.727272727272727
task_russ_4(2010)_lexi.txt	0.543103448275862
task_russ_5(2010)_gram.txt	0.930232558139535
task_russ_5(2010)_lexi_2.txt	0.876288659793814
task_russ_5(2010)_lexi_3.txt	0.808988764044944
task_russ_5(2010)_lexi_4.txt	0.835820895522388
task_russ_5(2010)_lexi.txt	0.825396825396825
task_russ_6(2011)_gram_2.txt	0.951219512195122
task_russ_6(2011)_gram.txt	0.866666666666667
task_russ_6(2011)_leSe.txt	0.834532374100719
task_russ_6(2011)_lexi_2.txt	0.818181818181818
task_russ_6(2011)_lexi_3.txt	0.82
task_russ_6(2011)_lexi.txt	0.887218045112782
task_russ_6(2011)_phra_2.txt	0.869047619047619
task_russ_6(2011)_phra.txt	0.911111111111111
task_russ_6(2011)_tran_2.txt	0.808510638297872
task_russ_6(2011)_tran_3.txt	0.95
