document	SMOG
task_russ_2(2009)_lexi.txt	3.1291
task_russ_2(2016)_gram_2.txt	3.1291
task_russ_2(2016)_gram_3.txt	3.1291
task_russ_2(2016)_gram.txt	3.1291
task_russ_3(2009)_gram_2.txt	3.1291
task_russ_3(2009)_gram_3.txt	3.1291
task_russ_3(2009)_gram_4.txt	3.1291
task_russ_3(2009)_gram_5.txt	3.1291
task_russ_3(2009)_gram_6.txt	3.1291
task_russ_3(2009)_gram_7.txt	3.1291
task_russ_3(2009)_gram.txt	3.1291
task_russ_3(2009)_lexi.txt	3.1291
task_russ_3(2018)_gram_2.txt	3.1291
task_russ_3(2018)_gram_3.txt	3.1291
task_russ_3(2018)_gram_4.txt	3.1291
task_russ_3(2018)_gram_5.txt	3.1291
task_russ_3(2018)_gram.txt	3.1291
task_russ_4(2009)_gram_2.txt	3.1291
task_russ_4(2009)_gram_3.txt	3.1291
task_russ_4(2009)_gram_4.txt	3.1291
task_russ_4(2009)_gram.txt	3.1291
task_russ_4(2009)_lexi_2.txt	3.1291
task_russ_4(2009)_lexi.txt	3.1291
task_russ_4(2010)_gram_2.txt	3.1291
task_russ_4(2010)_gram_3.txt	3.1291
task_russ_4(2010)_gram_4.txt	3.1291
task_russ_4(2010)_gram_5.txt	3.1291
task_russ_4(2010)_gram.txt	3.1291
task_russ_4(2010)_lexi_2.txt	3.1291
task_russ_4(2010)_lexi.txt	3.1291
task_russ_5(2010)_gram.txt	3.1291
task_russ_5(2010)_lexi_2.txt	3.1291
task_russ_5(2010)_lexi_3.txt	3.1291
task_russ_5(2010)_lexi_4.txt	3.1291
task_russ_5(2010)_lexi.txt	3.1291
task_russ_6(2011)_gram_2.txt	3.1291
task_russ_6(2011)_gram.txt	3.1291
task_russ_6(2011)_leSe.txt	3.1291
task_russ_6(2011)_lexi_2.txt	3.1291
task_russ_6(2011)_lexi_3.txt	3.1291
task_russ_6(2011)_lexi.txt	3.1291
task_russ_6(2011)_phra_2.txt	3.1291
task_russ_6(2011)_phra.txt	3.1291
task_russ_6(2011)_tran_2.txt	3.1291
task_russ_6(2011)_tran_3.txt	3.1291
task_russ_6(2011)_tran_4.txt	3.1291
task_russ_6(2011)_tran_5.txt	3.1291
task_russ_6(2011)_tran.txt	3.1291
task_russ_7(2011)_lexi_2.txt	3.1291
task_russ_7(2011)_lexi_3.txt	3.1291
task_russ_7(2011)_lexi.txt	3.1291
task_russ_8(2011)_gram_2.txt	3.1291
task_russ_8(2011)_gram_3.txt	3.1291
task_russ_8(2011)_gram.txt	3.1291
task_russ_8(2011)_lexi.txt	3.1291
task_trav_1(2010)_gram_2.txt	3.1291
task_trav_1(2010)_gram_3.txt	3.1291
task_trav_1(2010)_gram_4.txt	3.1291
task_trav_1(2010)_gram.txt	3.1291
task_trav_1(2010)_lexi.txt	3.1291
task_trav_2(2010)_gram_2.txt	3.1291
task_trav_2(2010)_gram_3.txt	3.1291
task_trav_2(2010)_gram.txt	3.1291
task_trav_2(2010)_lexi.txt	3.1291
task_trav_3(2011)_gram_2.txt	3.1291
task_trav_3(2011)_gram_3.txt	3.1291
task_trav_3(2011)_gram_4.txt	3.1291
task_trav_3(2011)_gram_5.txt	3.1291
task_trav_3(2011)_gram_6.txt	3.1291
task_trav_3(2011)_gram.txt	3.1291
task_trav_4(2016)_gram_2.txt	3.1291
task_trav_4(2016)_gram_3.txt	3.1291
task_trav_4(2016)_gram_4.txt	3.1291
task_trav_4(2016)_gram.txt	3.1291
task_vost_1(1994)_gram_2.txt	3.1291
task_vost_1(1994)_gram_3.txt	3.1291
task_vost_1(1994)_gram_4.txt	3.1291
task_vost_1(1994)_gram.txt	NA
task_vost_1(2009)_gram_2.txt	3.1291
task_vost_1(2009)_gram_3.txt	3.1291
task_vost_1(2009)_gram_4.txt	3.1291
task_vost_1(2009)_gram_5.txt	3.1291
task_vost_1(2009)_gram.txt	3.1291
task_vost_1(2011)_gram_2.txt	3.1291
task_vost_1(2011)_gram_3.txt	3.1291
task_vost_1(2011)_gram_4.txt	NA
task_vost_1(2011)_gram_5.txt	3.1291
task_vost_1(2011)_gram_6.txt	3.1291
task_vost_1(2011)_gram_7.txt	3.1291
task_vost_1(2011)_gram_8.txt	3.1291
task_vost_1(2011)_gram_9.txt	3.1291
task_vost_1(2011)_gram.txt	3.1291
task_vost_1(2011)_lexi.txt	3.1291
task_vost_2(1996)_gram_2.txt	3.1291
task_vost_2(1996)_gram_3.txt	3.1291
task_vost_2(1996)_gram_4.txt	3.1291
task_vost_2(1996)_gram.txt	3.1291
task_vost_2(1996)_lexi_2.txt	3.1291
task_vost_2(1996)_lexi.txt	3.1291
task_vost_2(2010)_gram_2.txt	3.1291
task_vost_2(2010)_gram_3.txt	3.1291
task_vost_2(2010)_gram_4.txt	3.1291
task_vost_2(2010)_gram_5.txt	3.1291
task_vost_2(2010)_gram_6.txt	3.1291
task_vost_2(2010)_gram.txt	3.1291
task_vost_2(2010)_lexi.txt	3.1291
task_vost_3(1996)_gram_2.txt	3.1291
task_vost_3(1996)_gram_3.txt	3.1291
task_vost_3(1996)_gram_4.txt	3.1291
task_vost_3(1996)_gram_5.txt	3.1291
task_vost_3(1996)_gram.txt	3.1291
task_vost_3(1996)_lexi_2.txt	3.1291
task_vost_3(1996)_lexi_3.txt	3.1291
task_vost_3(1996)_lexi.txt	3.1291
task_vost_3(2009.9)_gram_2.txt	3.1291
task_vost_3(2009.9)_gram_3.txt	3.1291
task_vost_3(2009.9)_gram_4.txt	3.1291
task_vost_3(2009.9)_gram.txt	3.1291
task_vost_3(2009.9)_lexi_2.txt	3.1291
task_vost_3(2009.9)_lexi.txt	3.1291
task_vost_4(1996)_gram_2.txt	3.1291
task_vost_4(1996)_gram_3.txt	3.1291
task_vost_4(1996)_gram.txt	3.1291
task_vost_4(1996)_lexi_2.txt	3.1291
task_vost_4(1996)_lexi_3.txt	3.1291
task_vost_4(1996)_lexi.txt	3.1291
task_vost_4(2010)_gram_2.txt	3.1291
task_vost_4(2010)_gram_3.txt	3.1291
task_vost_4(2010)_gram_4.txt	3.1291
task_vost_4(2010)_gram_5.txt	3.1291
task_vost_4(2010)_gram_6.txt	3.1291
task_vost_4(2010)_gram.txt	3.1291
task_vost_4(2010)_lexi.txt	3.1291
task_vost_4(2010)_tran.txt	3.1291
task_vost_5(1996)_gram_2.txt	3.1291
task_vost_5(1996)_gram.txt	3.1291
task_vost_5(1996)_leSt_2.txt	3.1291
task_vost_5(1996)_leSt.txt	3.1291
task_vost_5(1996)_lexi.txt	3.1291
task_vost_5(2011)_gram_2.txt	3.1291
task_vost_5(2011)_gram_3.txt	3.1291
task_vost_5(2011)_gram_4.txt	3.1291
task_vost_5(2011)_gram.txt	3.1291
task_vost_5(2011)_lexi_2.txt	3.1291
task_vost_5(2011)_lexi_3.txt	3.1291
task_vost_5(2011)_lexi_4.txt	3.1291
task_vost_5(2011)_lexi_5.txt	3.1291
task_vost_5(2011)_lexi.txt	3.1291
task_vost_6(1997)_leSt_2.txt	3.1291
task_vost_6(1997)_leSt_3.txt	3.1291
task_vost_6(1997)_leSt_4.txt	3.1291
task_vost_6(1997)_leSt_5.txt	3.1291
task_vost_6(1997)_leSt_6.txt	3.1291
task_vost_6(1997)_leSt.txt	3.1291
task_vost_6(1997)_lexi.txt	3.1291
task_vost_6(2012)_leSt_2.txt	3.1291
task_vost_6(2012)_leSt_3.txt	3.1291
task_vost_6(2012)_leSt_4.txt	3.1291
task_vost_6(2012)_leSt.txt	3.1291
task_vost_7(1996)_leSe_2.txt	3.1291
task_vost_7(1996)_leSe_3.txt	3.1291
task_vost_7(1996)_leSe_4.txt	3.1291
task_vost_7(1996)_leSe_5.txt	3.1291
task_vost_7(1996)_leSe_6.txt	3.1291
task_vost_7(1996)_leSe_7.txt	3.1291
task_vost_7(1996)_leSe_8.txt	3.1291
task_vost_7(1996)_leSe.txt	3.1291
task_vost_7(1996)_leSt.txt	3.1291
task_vost_7(2013)_gram_2.txt	3.1291
task_vost_7(2013)_gram.txt	3.1291
task_vost_7(2013)_leSt_2.txt	3.1291
task_vost_7(2013)_leSt_3.txt	3.1291
task_vost_7(2013)_leSt.txt	3.1291
task_vost_7(2013)_lexi_2.txt	3.1291
task_vost_7(2013)_lexi_3.txt	3.1291
task_vost_7(2013)_lexi.txt	3.1291
task_vost_8(1997)_gram.txt	3.1291
task_vost_8(1997)_leSe_2.txt	3.1291
task_vost_8(1997)_leSe_3.txt	3.1291
task_vost_8(1997)_leSe_4.txt	3.1291
task_vost_8(1997)_leSe.txt	3.1291
task_vost_8(1997)_woFo_2.txt	3.1291
task_vost_8(1997)_woFo_3.txt	3.1291
task_vost_8(1997)_woFo.txt	3.1291
task_vost_8(2014)_gram.txt	3.1291
task_vost_8(2014)_leSe.txt	3.1291
task_vost_8(2014)_leSt.txt	3.1291
task_vost_8(2014)_lexi_2.txt	3.1291
task_vost_8(2014)_lexi_3.txt	3.1291
task_vost_8(2014)_lexi_4.txt	3.1291
task_vost_8(2014)_lexi.txt	3.1291
task_vost_8(2014)_styl.txt	3.1291
