document	R
task_vost_1(2011)_gram_7.txt	5.51487018010835
task_vost_1(2011)_gram_8.txt	4.03162104543176
task_vost_1(2011)_gram_9.txt	4.56905774310129
task_vost_1(2011)_gram.txt	3.68604890387243
task_vost_1(2011)_lexi.txt	4.90098029409803
task_vost_2(1996)_gram_2.txt	6.56392461740526
task_vost_2(1996)_gram_3.txt	5.48795472456028
task_vost_2(1996)_gram_4.txt	5.8502136713115
task_vost_2(1996)_gram.txt	5.79494567263898
task_vost_2(1996)_lexi_2.txt	5.89767824619588
task_vost_2(1996)_lexi.txt	3.87298334620742
task_vost_2(2010)_gram_2.txt	5.72831208315625
task_vost_2(2010)_gram_3.txt	6.94879228972303
task_vost_2(2010)_gram_4.txt	5.75
task_vost_2(2010)_gram_5.txt	6.941774650197
task_vost_2(2010)_gram_6.txt	7.40547497481755
task_vost_2(2010)_gram.txt	6.27219463440947
task_vost_2(2010)_lexi.txt	7.09110596337298
task_vost_3(1996)_gram_2.txt	6.45423449040573
task_vost_3(1996)_gram_3.txt	6.04512020235078
task_vost_3(1996)_gram_4.txt	5.53398590529466
task_vost_3(1996)_gram_5.txt	4.96941867336809
task_vost_3(1996)_gram.txt	5.19615242270663
task_vost_3(1996)_lexi_2.txt	5.57801808120821
task_vost_3(1996)_lexi_3.txt	5.77350269189626
task_vost_3(1996)_lexi.txt	6.05258645678865
task_vost_3(2009.9)_gram_2.txt	6.93232593413948
task_vost_3(2009.9)_gram_3.txt	10.4640912985271
task_vost_3(2009.9)_gram_4.txt	4.88093530091976
task_vost_3(2009.9)_gram.txt	4.21669157099236
task_vost_3(2009.9)_lexi_2.txt	8.2
task_vost_3(2009.9)_lexi.txt	5.98046465141368
task_vost_4(1996)_gram_2.txt	5.3665631459995
task_vost_4(1996)_gram_3.txt	6.7310067310101
task_vost_4(1996)_gram.txt	6.375
task_vost_4(1996)_lexi_2.txt	8.43299381094191
task_vost_4(1996)_lexi_3.txt	6.47498055088418
task_vost_4(1996)_lexi.txt	6.87683859712507
task_vost_4(2010)_gram_2.txt	6.06779876216918
task_vost_4(2010)_gram_3.txt	5.7092239485974
task_vost_4(2010)_gram_4.txt	6.64597728588558
task_vost_4(2010)_gram_5.txt	8.19529076346132
task_vost_4(2010)_gram_6.txt	8.42931393016853
task_vost_4(2010)_gram.txt	9.21684741346486
task_vost_4(2010)_lexi.txt	9.7640385393612
task_vost_4(2010)_tran.txt	7.67344254100515
task_vost_5(1996)_gram_2.txt	8.4501870025082
task_vost_5(1996)_gram.txt	8.04984471899924
task_vost_5(1996)_leSt_2.txt	7.12068994916312
task_vost_5(1996)_leSt.txt	9.6561575852067
task_vost_5(1996)_lexi.txt	7.21238646486158
task_vost_5(2011)_gram_2.txt	7.5809026817448
task_vost_5(2011)_gram_3.txt	10.0326672308368
task_vost_5(2011)_gram_4.txt	7.8406383513141
task_vost_5(2011)_gram.txt	8.81200182403459
task_vost_5(2011)_lexi_2.txt	8.47383179221292
task_vost_5(2011)_lexi_3.txt	8.33308868142402
task_vost_5(2011)_lexi_4.txt	9.39766614815924
task_vost_5(2011)_lexi_5.txt	6.37905225659014
task_vost_5(2011)_lexi.txt	8.74157276121538
task_vost_6(1997)_leSt_2.txt	8.57236472002935
task_vost_6(1997)_leSt_3.txt	5.85714285714286
task_vost_6(1997)_leSt_4.txt	7.4908277246243
task_vost_6(1997)_leSt_5.txt	7.33016666137831
task_vost_6(1997)_leSt_6.txt	5.58956556838215
task_vost_6(1997)_leSt.txt	6.90001228198367
task_vost_6(1997)_lexi.txt	6.12632964291157
task_vost_6(2012)_leSt_2.txt	6.86137241173725
